Codigo,Materia,Creditos,Nota,Ano,Cuat
6103,ANALISIS MATEMATICO II A,8,8,2018,1
6201,FISICA I A,8,8,2018,1
6108,ALGEBRA II A,8,6,2018,1
6203,FISICA II A,8,8,2018,2
7501,COMPUTACION,4,8,2018,2
6301,QUIMICA,6,8,2018,2
6702,MEDIOS DE REPRESENTACION B,6,6,2019,2
6113,ANALISIS MATEMATICO III C,4,7,2019,2
6411,ESTABILIDAD I B,6,6,2019,1
6206,MECANICA I,6,5,2019,1
7512,ANALISIS NUMERICO I,6,7,2019,1
6707,DIBUJO MECANICO,2,5,2019,1
6713,CONOCIMIENTO DE MATERIALES I,6,8,2019,1
6714,CONOCIMIENTO DE MATERIALES II,4,8,2019,2
6704,TERMODINAMICA I A,8,10,2020,2
6711,MECANISMOS A,4,5,2020,2
6412,ESTABILIDAD II B,8,7,2020,1
6715,TECNOLOGIA MECANICA I,6,6,2020,1
6716,ENSAYOS INDUSTRIALES,4,7,2021,2
6413,ESTABILIDAD III B,6,10,2021,2
6718,MECANICA DE LOS FLUIDOS B,6,7,2021,2
6717,TALLER,4,8,2021,2
6504,ELECTROTECNIA GENERAL B,6,8,2021,2
6603,ELECTRÓNICA GENERAL,4,9,2021,1
6721,MEDICIONES FISICAS Y MECANICAS,4,7,2021,1
6719,MAQUINAS ALTERNATIVAS,6,8,2021,1
6506,MAQUINAS ELECTRICAS,6,7,2022,2
6722,SISTEMAS DE CONTROL,4,6,2022,1
6720,TURBOMAQUINAS,6,5,2022,1
7705,PROY. NACIONALES E ING. AMBIENTAL,4,8,2023,2
7125,LEG. Y EJ. PROF. DE LA ING. MECANICA,2,5,2023,2
6724,PROYECTO DE INSTALACIONES INDUSTRIALES,6,7,2023,2
6723,CONVERSION DE ENERGIA,2,7,2023,1
6728,SISTEMAS HIDRAULICOS Y NEUMATICOS,4,7,2023,1
7701,HIGIENE Y SEGURIDAD DEL TRABAJO,4,8,2023,1
7101,INTRO. A LA ECONOMÍA Y ORG. DE LA EMPRESA,4,9,2023,1